source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
property_prices_in_tunisia,306,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,110.0,3.0,1.0,220000.0
property_prices_in_tunisia,314,apartment,Ariana,Ennasr,Ennasr,Ennasr,170.0,3.0,1.0,350000.0
property_prices_in_tunisia,327,house,Ariana,Raoued,Raoued,Raoued,240.0,5.0,1.0,280000.0
property_prices_in_tunisia,332,apartment,Ariana,La Soukra,La Soukra,La Soukra,120.0,2.0,1.0,280000.0
property_prices_in_tunisia,335,house,Ariana,La Soukra,La Soukra,La Soukra,250.0,5.0,3.0,410000.0
property_prices_in_tunisia,340,apartment,Ariana,La Soukra,La Soukra,La Soukra,155.0,3.0,2.0,300000.0
property_prices_in_tunisia,342,house,Ariana,Ariana,Ariana,Ariana,401.0,7.0,2.0,550000.0
property_prices_in_tunisia,349,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,518.0,11.0,3.0,900000.0
property_prices_in_tunisia,352,apartment,Ariana,La Soukra,La Soukra,La Soukra,140.0,2.0,2.0,240000.0
property_prices_in_tunisia,363,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,100.0,4.0,1.0,170000.0
property_prices_in_tunisia,366,apartment,Ariana,La Soukra,La Soukra,La Soukra,174.0,4.0,3.0,500000.0
property_prices_in_tunisia,367,apartment,Ariana,La Soukra,La Soukra,La Soukra,107.0,2.0,1.0,220000.0
property_prices_in_tunisia,368,apartment,Ariana,La Soukra,La Soukra,La Soukra,122.0,2.0,2.0,268000.0
property_prices_in_tunisia,369,house,Ariana,La Soukra,La Soukra,La Soukra,520.0,6.0,5.0,1350000.0
property_prices_in_tunisia,370,apartment,Ariana,La Soukra,La Soukra,La Soukra,115.0,2.0,2.0,310000.0
property_prices_in_tunisia,374,apartment,Ariana,Ennasr,Ennasr,Ennasr,200.0,3.0,2.0,355000.0
property_prices_in_tunisia,376,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,90.0,2.0,1.0,135000.0
property_prices_in_tunisia,378,apartment,Ariana,Ennasr,Ennasr,Ennasr,187.0,3.0,3.0,465000.0
property_prices_in_tunisia,379,apartment,Ariana,Ennasr,Ennasr,Ennasr,191.0,3.0,3.0,370000.0
property_prices_in_tunisia,383,apartment,Ariana,Ennasr,Ennasr,Ennasr,169.0,3.0,2.0,410000.0
property_prices_in_tunisia,384,house,Ariana,Ennasr,Ennasr,Ennasr,609.0,4.0,3.0,1150000.0
property_prices_in_tunisia,387,house,Ariana,Raoued,Raoued,Raoued,417.0,3.0,1.0,130000.0
property_prices_in_tunisia,394,house,Ariana,La Soukra,La Soukra,La Soukra,380.0,5.0,3.0,750000.0
property_prices_in_tunisia,398,apartment,Ariana,Chotrana,Chotrana,Chotrana,124.0,2.0,2.0,284000.0
property_prices_in_tunisia,402,apartment,Ariana,Ennasr,Ennasr,Ennasr,60.0,2.0,1.0,180000.0
property_prices_in_tunisia,412,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,90.0,2.0,1.0,160000.0
property_prices_in_tunisia,413,apartment,Ariana,Chotrana,Chotrana,Chotrana,58.0,1.0,1.0,109000.0
property_prices_in_tunisia,414,house,Ariana,La Soukra,La Soukra,La Soukra,500.0,4.0,3.0,1080000.0
property_prices_in_tunisia,415,house,Ariana,La Soukra,La Soukra,La Soukra,370.0,5.0,4.0,750000.0
property_prices_in_tunisia,417,house,Ariana,La Soukra,La Soukra,La Soukra,482.0,5.0,4.0,850000.0
property_prices_in_tunisia,418,apartment,Ariana,Ennasr,Ennasr,Ennasr,160.0,3.0,1.0,350000.0
property_prices_in_tunisia,421,apartment,Ariana,Ennasr,Ennasr,Ennasr,253.0,4.0,2.0,2400000.0
property_prices_in_tunisia,422,apartment,Ariana,Ennasr,Ennasr,Ennasr,140.0,3.0,1.0,300000.0
property_prices_in_tunisia,426,apartment,Ariana,La Soukra,La Soukra,La Soukra,200.0,3.0,2.0,550000.0
property_prices_in_tunisia,427,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,70.0,3.0,1.0,110000.0
property_prices_in_tunisia,428,apartment,Ariana,La Soukra,La Soukra,La Soukra,170.0,4.0,1.0,2600000.0
property_prices_in_tunisia,431,apartment,Ariana,Ennasr,Ennasr,Ennasr,150.0,3.0,1.0,320000.0
property_prices_in_tunisia,433,apartment,Ariana,La Soukra,La Soukra,La Soukra,143.0,2.0,1.0,360000.0
property_prices_in_tunisia,437,apartment,Ariana,La Soukra,La Soukra,La Soukra,121.0,3.0,1.0,167500.0
property_prices_in_tunisia,439,house,Ariana,La Soukra,La Soukra,La Soukra,637.0,5.0,3.0,900000.0
property_prices_in_tunisia,441,house,Ariana,Ghazela,Ghazela,Ghazela,240.0,8.0,2.0,380000.0
property_prices_in_tunisia,449,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,140.0,3.0,2.0,280000.0
property_prices_in_tunisia,450,apartment,Ariana,Ennasr,Ennasr,Ennasr,170.0,3.0,2.0,430000.0
property_prices_in_tunisia,451,apartment,Ariana,La Soukra,La Soukra,La Soukra,45.0,1.0,1.0,80000.0
