id_annonce;source_dataset;titre;type_bien;type_transaction;prix_tnd;prix_texte_brut;gouvernorat;ville;quartier;adresse_brute;surface_habitable_m2;surface_terrain_m2;nb_pieces;nb_chambres;nb_salles_bain;meuble;terrasse;securite;latitude;longitude;zone_littorale;moyens_paiement;telephone;date_publication;date_extraction;url_annonce;log_prix;piscine;garage;climatisation;jardin
24339;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;700000.0;Non précisé;Ariana;La Soukra;La Soukra;Non précisé;186.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;07/09/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24346;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;200000.0;Non précisé;Ben Arous;Rades;Rades;Non précisé;100.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;24/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24366;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;418000.0;Non précisé;Nabeul;Nabeul;Nabeul;Non précisé;197.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;13/12/2022;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24369;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;850000.0;Non précisé;Ben Arous;Nouvelle Medina;Nouvelle Medina;Non précisé;360.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;20/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24386;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;380000.0;Non précisé;Nabeul;Hammamet;Hammamet;Non précisé;117.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;11/04/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24393;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;398000.0;Non précisé;Tunis;El Kram;El Kram;Non précisé;120.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;13/04/2022;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24404;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;300000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;130.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;18/07/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24408;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;135000.0;Non précisé;Ben Arous;Fouchana;Fouchana;Non précisé;90.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;24/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24426;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;315000.0;Non précisé;Tunis;La Marsa;La Marsa;Non précisé;104.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;01/12/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24429;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;270000.0;Non précisé;Ariana;Raoued;Raoued;Non précisé;112.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;10/06/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
