property_type,bedrooms,bathrooms,surface_m2,price,city,neighborhood,log_price
Apartment,3.0,2.0,169.0,410000.0,Ariana,Ennasr,5.612783856719736
Villa,4.0,3.0,609.0,1150000.0,Ariana,Ennasr,6.060697840353612
Villa,3.0,1.0,417.0,130000.0,Ariana,Raoued,5.113943352306837
Villa,3.0,2.0,290.0,690000.0,Ariana,Autres villes,5.838849090737256
Villa,5.0,2.0,125.0,185000.0,Ariana,Autres villes,5.267171728403014
Villa,5.0,3.0,380.0,750000.0,Ariana,La Soukra,5.8750612633917
Apartment,2.0,2.0,124.0,284000.0,Ariana,Chotrana,5.453318340047038
Apartment,2.0,1.0,60.0,180000.0,Ariana,Ennasr,5.2552725051033065
Apartment,2.0,1.0,90.0,160000.0,Ariana,Borj Louzir,5.204119982655925
Apartment,1.0,1.0,58.0,109000.0,Ariana,Chotrana,5.037426497940624
Villa,4.0,3.0,500.0,1080000.0,Ariana,La Soukra,6.033423755486949
Villa,5.0,4.0,370.0,750000.0,Ariana,La Soukra,5.8750612633917
Villa,5.0,4.0,482.0,850000.0,Ariana,La Soukra,5.929418925714293
Apartment,3.0,1.0,160.0,350000.0,Ariana,Ennasr,5.544068044350276
Apartment,4.0,2.0,253.0,2400000.0,Ariana,Ennasr,6.380211241711606
Apartment,3.0,1.0,140.0,300000.0,Ariana,Ennasr,5.477121254719663
Apartment,3.0,2.0,200.0,550000.0,Ariana,La Soukra,5.740362689494244
Apartment,3.0,1.0,70.0,110000.0,Ariana,Borj Louzir,5.041392685158225
Apartment,4.0,1.0,170.0,2600000.0,Ariana,La Soukra,6.414973347970818
Apartment,3.0,1.0,150.0,320000.0,Ariana,Ennasr,5.505149978319906
Apartment,2.0,1.0,143.0,360000.0,Ariana,La Soukra,5.556302500767287
Apartment,3.0,1.0,121.0,167500.0,Ariana,La Soukra,5.224014811372864
Villa,5.0,3.0,637.0,900000.0,Ariana,La Soukra,5.954242509439325
Villa,8.0,2.0,240.0,380000.0,Ariana,Ghazela,5.57978359661681
Villa,4.0,2.0,320.0,265000.0,Ariana,Ghazela,5.423245873936808
Apartment,3.0,2.0,140.0,280000.0,Ariana,Jardins D'el Menzah,5.447158031342219
Apartment,3.0,2.0,170.0,430000.0,Ariana,Ennasr,5.633468455579586
Apartment,1.0,1.0,45.0,80000.0,Ariana,La Soukra,4.903089986991944
Villa,3.0,1.0,98.0,130000.0,Ariana,Ariana Ville,5.113943352306837
Apartment,3.0,1.0,98.0,130000.0,Ariana,Ariana,5.113943352306837
Apartment,4.0,2.0,165.0,310000.0,Ariana,Autres villes,5.491361693834273
Apartment,1.0,1.0,60.0,180000.0,Ariana,Ennasr,5.2552725051033065
Villa,3.0,1.0,200.0,170000.0,Ariana,Raoued,5.230448921378274
Villa,2.0,1.0,90.0,76000.0,Ariana,Raoued,4.880813592280791
Apartment,3.0,1.0,75.0,130000.0,Ariana,Borj Louzir,5.113943352306837
Apartment,3.0,1.0,121.0,167500.0,Ariana,La Soukra,5.224014811372864
Apartment,2.0,1.0,95.0,220000.0,Ariana,La Soukra,5.342422680822207
Villa,3.0,1.0,100.0,170000.0,Ariana,Borj Louzir,5.230448921378274
Villa,3.0,1.0,90.0,100000.0,Ariana,Borj Louzir,5.0
Apartment,2.0,1.0,126.0,330000.0,Ariana,Jardins D'el Menzah,5.518513939877887
Villa,4.0,1.0,200.0,170000.0,Ariana,Ariana,5.230448921378274
Apartment,2.0,1.0,100.0,223000.0,Ariana,La Soukra,5.348304863048161
Apartment,1.0,1.0,60.0,180000.0,Ariana,Autres villes,5.2552725051033065
Apartment,2.0,1.0,60.0,170000.0,Ariana,La Soukra,5.230448921378274
Villa,6.0,2.0,425.0,230000.0,Ariana,Raoued,5.361727836017593
Apartment,2.0,1.0,108.0,210000.0,Ariana,Borj Louzir,5.32221929473392
Villa,3.0,1.0,225.0,135000.0,Ariana,Chotrana,5.130333768495007
Apartment,2.0,1.0,170.0,330000.0,Ariana,Ennasr,5.518513939877887
Apartment,1.0,1.0,45.0,120000.0,Ariana,Ennasr,5.079181246047625
Apartment,3.0,1.0,140.0,275000.0,Ariana,Jardins D'el Menzah,5.439332693830263
Apartment,1.0,1.0,60.0,155000.0,Ariana,Ennasr,5.190331698170292
Apartment,3.0,1.0,117.0,270000.0,Ariana,La Soukra,5.431363764158987
Villa,1.0,1.0,150.0,28000.0,Ariana,Raoued,4.447158031342219
Villa,3.0,1.0,200.0,180000.0,Ariana,Ariana,5.2552725051033065
Apartment,2.0,1.0,80.0,195000.0,Ariana,Mnihla,5.290034611362518
Apartment,2.0,1.0,128.0,365000.0,Ariana,La Soukra,5.562292864456475
Villa,1.0,1.0,200.0,60000.0,Ariana,Raoued,4.778151250383644
Villa,6.0,3.0,311.0,900000.0,Ariana,La Soukra,5.954242509439325
Villa,2.0,1.0,110.0,120000.0,Ariana,Raoued,5.079181246047625
Villa,1.0,1.0,195.0,65000.0,Ariana,Chotrana,4.812913356642856
Villa,1.0,1.0,150.0,68000.0,Ariana,Chotrana,4.832508912706237
Villa,3.0,1.0,115.0,130000.0,Ariana,Borj Louzir,5.113943352306837
Apartment,1.0,1.0,60.0,170000.0,Ariana,Chotrana,5.230448921378274
Villa,3.0,1.0,330.0,180000.0,Ariana,Raoued,5.2552725051033065
Apartment,3.0,1.0,140.0,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Villa,3.0,3.0,370.0,760000.0,Ariana,La Soukra,5.880813592280791
Apartment,2.0,1.0,80.0,119000.0,Ariana,Borj Louzir,5.075546961392531
Apartment,1.0,1.0,60.0,100000.0,Ariana,La Soukra,5.0
Villa,4.0,2.0,85.0,130000.0,Ariana,Autres villes,5.113943352306837
Villa,2.0,1.0,225.0,150000.0,Ariana,Autres villes,5.176091259055681
Villa,2.0,1.0,80.0,90000.0,Ariana,La Soukra,4.954242509439325
Apartment,4.0,2.0,200.0,420000.0,Ariana,Jardins D'el Menzah,5.623249290397901
Villa,3.0,1.0,100.0,85000.0,Ariana,Mnihla,4.929418925714293
Apartment,3.0,2.0,138.0,340000.0,Ariana,Jardins D'el Menzah,5.531478917042255
